,objectid,energiomraadeid,bygningsomraadeid,har_grunnvarme,har_fjernvarme,har_adresse,bygning_id,bygningstype_navn,profet_bygningstype,profet_bygningsstandard,bruksareal_totalt,bebygd_areal,antall_etasjer,x,y,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,oppgraderes,varme_finnes,reduksjon_termiskbehov,reduksjon_elektriskbehov,har_eksisterende_data,_termisk_energibehov,_elektrisk_energibehov,_romoppvarming_energibehov,_tappevann_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi_liste,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elektrisk_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elektrisk_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elektrisk_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario_navn
0,1,A,P3,,,Gartnerhaugveien 1,0,0,Andre,Eldre,100,0,0,10.442133,63.4513,True,False,False,False,False,True,0,0,False,[1.59808 1.54784 1.59536 ... 1.85435 1.84092 1.85205],[0.96634 0.93184 0.92919 ... 1.01566 1.00803 0.96449],[1.5189  1.47131 1.52062 ... 1.74431 1.74546 1.76025],[0.07918 0.07653 0.07474 ... 0.11004 0.09546 0.0918 ],[0.96634 0.93184 0.92919 ... 1.01566 1.00803 0.96449],[0.45659429 0.44224    0.45581714 ... 0.52981429 0.52597714 0.52915714],"[-1.14148571 -1.1056     -1.13954286 ... -1.32453571 -1.31494286
 -1.32289286]",[0. 0. 0. ... 0. 0. 0.],0,0,106.0,63600.0,[1.42293429 1.37408    1.38500714 ... 1.54547429 1.53400714 1.49364714],17400.0,2.0,2.0,12525.97262,8497.190928571428,0,13373.4045,3398.876371428571,629.90532,0.0,0.50595,0.3613928571428572,0,1.363,0.14455714285714283,0.0,0.0,0.7576499999999999,0.5411785714285714,0,2.0705,0.21647142857142854,0.0,0.0,Referansesituasjon
1,2,A,P3,,,Gartnerhaugveien 1,0,0,Andre,Eldre,100,0,0,10.442183,63.451341,True,True,False,False,False,True,0,0,False,[1.59808 1.54784 1.59536 ... 1.85435 1.84092 1.85205],[0.96634 0.93184 0.92919 ... 1.01566 1.00803 0.96449],[1.5189  1.47131 1.52062 ... 1.74431 1.74546 1.76025],[0.07918 0.07653 0.07474 ... 0.11004 0.09546 0.0918 ],[0.96634 0.93184 0.92919 ... 1.01566 1.00803 0.96449],[0.45659429 0.44224    0.45581714 ... 0.52981429 0.52597714 0.52915714],"[-1.14148571 -1.1056     -1.13954286 ... -1.32453571 -1.31494286
 -1.32289286]",[0. 0. 0. ... 0. 0. 0.],0,0,106.0,63600.0,[1.42293429 1.37408    1.38500714 ... 1.54547429 1.53400714 1.49364714],17400.0,2.0,2.0,12525.97262,8497.190928571428,0,13373.4045,3398.876371428571,629.90532,0.0,0.50595,0.3613928571428572,0,1.363,0.14455714285714283,0.0,0.0,0.7576499999999999,0.5411785714285714,0,2.0705,0.21647142857142854,0.0,0.0,Referansesituasjon
2,3,A,P3,,,Gartnerhaugveien 1,0,0,Andre,Eldre,100,0,0,10.442243,63.451378,True,True,False,False,False,True,0,0,False,[1.59808 1.54784 1.59536 ... 1.85435 1.84092 1.85205],[0.96634 0.93184 0.92919 ... 1.01566 1.00803 0.96449],[1.5189  1.47131 1.52062 ... 1.74431 1.74546 1.76025],[0.07918 0.07653 0.07474 ... 0.11004 0.09546 0.0918 ],[0.96634 0.93184 0.92919 ... 1.01566 1.00803 0.96449],[0.45659429 0.44224    0.45581714 ... 0.52981429 0.52597714 0.52915714],"[-1.14148571 -1.1056     -1.13954286 ... -1.32453571 -1.31494286
 -1.32289286]",[0. 0. 0. ... 0. 0. 0.],0,0,106.0,63600.0,[1.42293429 1.37408    1.38500714 ... 1.54547429 1.53400714 1.49364714],17400.0,2.0,2.0,12525.97262,8497.190928571428,0,13373.4045,3398.876371428571,629.90532,0.0,0.50595,0.3613928571428572,0,1.363,0.14455714285714283,0.0,0.0,0.7576499999999999,0.5411785714285714,0,2.0705,0.21647142857142854,0.0,0.0,Referansesituasjon
3,4,A,P3,,,Østmarkveien 28U,0,0,Andre,Eldre,730,0,0,10.444495,63.451755,True,False,False,False,False,True,0,0,False,[11.665984 11.299232 11.646128 ... 13.536755 13.438716 13.519965],[7.054282 6.802432 6.783087 ... 7.414318 7.358619 7.040777],[11.08797  10.740563 11.100526 ... 12.733463 12.741858 12.849825],[0.578014 0.558669 0.545602 ... 0.803292 0.696858 0.67014 ],[7.054282 6.802432 6.783087 ... 7.414318 7.358619 7.040777],[3.33313829 3.228352   3.32746514 ... 3.86764429 3.83963314 3.86284714],"[-8.33284571 -8.07088    -8.31866286 ... -9.66911071 -9.59908286
 -9.65711786]",[0. 0. 0. ... 0. 0. 0.],0,0,775.0,465000.0,"[10.38742029 10.030784   10.11055214 ... 11.28196229 11.19825214
 10.90362414]",127000.0,11.0,17.0,91439.600126,62029.49377857143,0,97625.85285,24811.797511428576,4598.308835999997,0.0,3.693435,2.6381678571428573,0,9.9499,1.0552671428571427,0.0,0.0,5.530845,3.9506035714285717,0,15.114650000000001,1.5802414285714286,0.0,0.0,Referansesituasjon
4,5,A,P3,,,Østmarkveien 26F,0,0,Andre,Eldre,2000,0,0,10.445724,63.451774,True,False,False,False,False,True,0,0,False,[31.9616 30.9568 31.9072 ... 37.087  36.8184 37.041 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],[30.378  29.4262 30.4124 ... 34.8862 34.9092 35.205 ],[1.5836 1.5306 1.4948 ... 2.2008 1.9092 1.836 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],"[ 9.13188571  8.8448      9.11634286 ... 10.59628571 10.51954286
 10.58314286]","[-22.82971429 -22.112      -22.79085714 ... -26.49071429 -26.29885714
 -26.45785714]",[0. 0. 0. ... 0. 0. 0.],0,0,2124.0,1274400.0,"[28.45868571 27.4816     27.70014286 ... 30.90948571 30.68014286
 29.87294286]",348000.0,30.0,46.0,250519.45239999998,169943.8185714286,0,267468.09,67977.52742857143,12598.106399999999,0.0,10.119,7.227857142857143,0,27.259999999999998,2.8911428571428566,0.0,0.0,15.153,10.82357142857143,0,41.410000000000004,4.32942857142857,0.0,0.0,Referansesituasjon
5,6,A,P3,,,Østmarkveien 26,0,0,Andre,Eldre,2000,0,0,10.446209,63.451881,True,False,False,False,False,True,0,0,False,[31.9616 30.9568 31.9072 ... 37.087  36.8184 37.041 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],[30.378  29.4262 30.4124 ... 34.8862 34.9092 35.205 ],[1.5836 1.5306 1.4948 ... 2.2008 1.9092 1.836 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],"[ 9.13188571  8.8448      9.11634286 ... 10.59628571 10.51954286
 10.58314286]","[-22.82971429 -22.112      -22.79085714 ... -26.49071429 -26.29885714
 -26.45785714]",[0. 0. 0. ... 0. 0. 0.],0,0,2124.0,1274400.0,"[28.45868571 27.4816     27.70014286 ... 30.90948571 30.68014286
 29.87294286]",348000.0,30.0,46.0,250519.45239999998,169943.8185714286,0,267468.09,67977.52742857143,12598.106399999999,0.0,10.119,7.227857142857143,0,27.259999999999998,2.8911428571428566,0.0,0.0,15.153,10.82357142857143,0,41.410000000000004,4.32942857142857,0.0,0.0,Referansesituasjon
6,7,A,P3,,,Østmarkveien 26C,0,0,Andre,Eldre,2000,0,0,10.447303,63.451959,True,True,False,False,False,True,0,0,False,[31.9616 30.9568 31.9072 ... 37.087  36.8184 37.041 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],[30.378  29.4262 30.4124 ... 34.8862 34.9092 35.205 ],[1.5836 1.5306 1.4948 ... 2.2008 1.9092 1.836 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],"[ 9.13188571  8.8448      9.11634286 ... 10.59628571 10.51954286
 10.58314286]","[-22.82971429 -22.112      -22.79085714 ... -26.49071429 -26.29885714
 -26.45785714]",[0. 0. 0. ... 0. 0. 0.],0,0,2124.0,1274400.0,"[28.45868571 27.4816     27.70014286 ... 30.90948571 30.68014286
 29.87294286]",348000.0,30.0,46.0,250519.45239999998,169943.8185714286,0,267468.09,67977.52742857143,12598.106399999999,0.0,10.119,7.227857142857143,0,27.259999999999998,2.8911428571428566,0.0,0.0,15.153,10.82357142857143,0,41.410000000000004,4.32942857142857,0.0,0.0,Referansesituasjon
7,8,A,P3,,,Østmarkveien 26B,0,0,Andre,Eldre,2000,0,0,10.447843,63.451992,True,False,False,False,False,True,0,0,False,[31.9616 30.9568 31.9072 ... 37.087  36.8184 37.041 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],[30.378  29.4262 30.4124 ... 34.8862 34.9092 35.205 ],[1.5836 1.5306 1.4948 ... 2.2008 1.9092 1.836 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],"[ 9.13188571  8.8448      9.11634286 ... 10.59628571 10.51954286
 10.58314286]","[-22.82971429 -22.112      -22.79085714 ... -26.49071429 -26.29885714
 -26.45785714]",[0. 0. 0. ... 0. 0. 0.],0,0,2124.0,1274400.0,"[28.45868571 27.4816     27.70014286 ... 30.90948571 30.68014286
 29.87294286]",348000.0,30.0,46.0,250519.45239999998,169943.8185714286,0,267468.09,67977.52742857143,12598.106399999999,0.0,10.119,7.227857142857143,0,27.259999999999998,2.8911428571428566,0.0,0.0,15.153,10.82357142857143,0,41.410000000000004,4.32942857142857,0.0,0.0,Referansesituasjon
8,9,A,P3,,,Østmarkveien 26,0,0,Andre,Eldre,2000,0,0,10.448262,63.451855,True,True,False,False,False,True,0,0,False,[31.9616 30.9568 31.9072 ... 37.087  36.8184 37.041 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],[30.378  29.4262 30.4124 ... 34.8862 34.9092 35.205 ],[1.5836 1.5306 1.4948 ... 2.2008 1.9092 1.836 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],"[ 9.13188571  8.8448      9.11634286 ... 10.59628571 10.51954286
 10.58314286]","[-22.82971429 -22.112      -22.79085714 ... -26.49071429 -26.29885714
 -26.45785714]",[0. 0. 0. ... 0. 0. 0.],0,0,2124.0,1274400.0,"[28.45868571 27.4816     27.70014286 ... 30.90948571 30.68014286
 29.87294286]",348000.0,30.0,46.0,250519.45239999998,169943.8185714286,0,267468.09,67977.52742857143,12598.106399999999,0.0,10.119,7.227857142857143,0,27.259999999999998,2.8911428571428566,0.0,0.0,15.153,10.82357142857143,0,41.410000000000004,4.32942857142857,0.0,0.0,Referansesituasjon
9,10,A,P3,,,Østmarkveien 28C,0,0,Andre,Eldre,2000,0,0,10.448161,63.452412,True,False,False,False,False,True,0,0,False,[31.9616 30.9568 31.9072 ... 37.087  36.8184 37.041 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],[30.378  29.4262 30.4124 ... 34.8862 34.9092 35.205 ],[1.5836 1.5306 1.4948 ... 2.2008 1.9092 1.836 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],"[ 9.13188571  8.8448      9.11634286 ... 10.59628571 10.51954286
 10.58314286]","[-22.82971429 -22.112      -22.79085714 ... -26.49071429 -26.29885714
 -26.45785714]",[0. 0. 0. ... 0. 0. 0.],0,0,2124.0,1274400.0,"[28.45868571 27.4816     27.70014286 ... 30.90948571 30.68014286
 29.87294286]",348000.0,30.0,46.0,250519.45239999998,169943.8185714286,0,267468.09,67977.52742857143,12598.106399999999,0.0,10.119,7.227857142857143,0,27.259999999999998,2.8911428571428566,0.0,0.0,15.153,10.82357142857143,0,41.410000000000004,4.32942857142857,0.0,0.0,Referansesituasjon
