,objectid,energiomraadeid,bygningsomraadeid,har_grunnvarme,har_fjernvarme,har_adresse,bygning_id,bygningstype_navn,profet_bygningstype,profet_bygningsstandard,bruksareal_totalt,bebygd_areal,antall_etasjer,x,y,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,oppgraderes,varme_finnes,reduksjon_termiskbehov,reduksjon_elektriskbehov,har_eksisterende_data,_termisk_energibehov,_elektrisk_energibehov,_romoppvarming_energibehov,_tappevann_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi_liste,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elektrisk_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elektrisk_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elektrisk_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario_navn
10,11,A,P3,,,Victoria Bachkes Vei 23,0,0,Andre,Eldre,1380,0,0,10.449376,63.450155,False,False,False,False,False,False,0,0,False,[22.053504 21.360192 22.015968 ... 25.59003  25.404696 25.55829 ],[13.335492 12.859392 12.822822 ... 14.016108 13.910814 13.309962],[20.96082  20.304078 20.984556 ... 24.071478 24.087348 24.29145 ],[1.092684 1.056114 1.031412 ... 1.518552 1.317348 1.26684 ],[13.335492 12.859392 12.822822 ... 14.016108 13.910814 13.309962],0,0,0,0,0,0,0,[35.388996 34.219584 34.83879  ... 39.606138 39.31551  38.868252],357400.0,26.0,39.0,172858.42215600002,0.0,0,184552.9821,0.0,0.0,0,6.9821100000000005,0.0,0,18.8094,0.0,0.0,0,10.45557,0.0,0,28.5729,0.0,0.0,0,Referansesituasjon
11,12,A,P3,,,Østmarkveien 28D,0,0,Andre,Eldre,6140,0,0,10.447554,63.452576,False,False,False,False,False,False,0,0,False,[ 98.122112  95.037376  97.955104 ... 113.85709  113.032488 113.71587 ],[59.333276 57.214976 57.052266 ... 62.361524 61.893042 59.219686],[ 93.26046   90.338434  93.366068 ... 107.100634 107.171244 108.07935 ],[4.861652 4.698942 4.589036 ... 6.756456 5.861244 5.63652 ],[59.333276 57.214976 57.052266 ... 62.361524 61.893042 59.219686],0,0,0,0,0,0,0,[157.455388 152.252352 155.00737  ... 176.218614 174.92553  172.935556],1590200.0,115.0,174.0,769094.7188680001,0.0,0,821127.0362999999,0.0,0.0,0,31.065330000000003,0.0,0,83.6882,0.0,0.0,0,46.51971,0.0,0,127.12870000000001,0.0,0.0,0,Referansesituasjon
12,14,A,P3,,,Østmarkveien 22H,0,0,Andre,Eldre,160,0,0,10.448633,63.451336,False,False,True,False,False,True,0,0,False,[2.556928 2.476544 2.552576 ... 2.96696  2.945472 2.96328 ],[1.546144 1.490944 1.486704 ... 1.625056 1.612848 1.543184],[2.43024  2.354096 2.432992 ... 2.790896 2.792736 2.8164  ],[0.126688 0.122448 0.119584 ... 0.176064 0.152736 0.14688 ],[1.546144 1.490944 1.486704 ... 1.625056 1.612848 1.543184],[0.95289242 0.92293565 0.93419566 ... 0.96537181 0.96253761 0.92852726],"[-1.60403558 -1.55360835 -1.57256269 ... -1.62504254 -1.62027164
 -1.5630209 ]",[0.         0.         0.04581766 ... 0.37654566 0.36266275 0.47173184],0,0,0,0,[2.49903642 2.41387965 2.46671731 ... 2.96697346 2.93804836 2.9434431 ],31500.0,2.0,4.0,20041.556192,9959.793494618212,0,21397.4472,5916.709006703891,4165.053690677897,0,0.80952,0.5078355279503105,0,2.1808,0.3016844720496895,0.0,0,1.21224,0.7604735403726707,0,3.3128,0.4517664596273293,0.0,0,Referansesituasjon
13,15,A,P3,,,Østmarkveien 22F,0,0,Andre,Eldre,178,0,0,10.448502,63.45142,False,False,True,False,False,True,0,0,False,[2.8445824 2.7551552 2.8397408 ... 3.300743  3.2768376 3.296649 ],[1.7200852 1.6586752 1.6539582 ... 1.8078748 1.7942934 1.7167922],[2.703642  2.6189318 2.7067036 ... 3.1048718 3.1069188 3.133245 ],[0.1409404 0.1362234 0.1330372 ... 0.1958712 0.1699188 0.163404 ],[1.7200852 1.6586752 1.6539582 ... 1.8078748 1.7942934 1.7167922],[1.06009282 1.02676591 1.03929267 ... 1.07397613 1.07082309 1.03298658],"[-1.78448958 -1.72838929 -1.74947599 ... -1.80785982 -1.8025522
 -1.73886075]",[0.         0.         0.05097214 ... 0.41890704 0.40346231 0.52480167],0,0,0,0,[2.78017802 2.68544111 2.74422301 ... 3.30075798 3.2685788  3.27458045],35000.0,3.0,4.0,22296.231263600002,11080.270262762762,0,23804.66001,6582.338769958078,4633.62223087916,0,0.9005909999999999,0.5649670248447204,0,2.4261399999999997,0.33562397515527953,0.0,0,1.348617,0.8460268136645961,0,3.68549,0.5025901863354039,0.0,0,Referansesituasjon
14,16,A,P3,,,Østmarkveien 22C,0,0,Andre,Eldre,266,0,0,10.448505,63.451574,False,False,False,False,False,False,0,0,False,[4.2508928 4.1172544 4.2436576 ... 4.932571  4.8968472 4.926453 ],[2.5704644 2.4786944 2.4716454 ... 2.7016556 2.6813598 2.5655434],[4.040274  3.9136846 4.0448492 ... 4.6398646 4.6429236 4.682265 ],[0.2106188 0.2035698 0.1988084 ... 0.2927064 0.2539236 0.244188 ],[2.5704644 2.4786944 2.4716454 ... 2.7016556 2.6813598 2.5655434],0,0,0,0,0,0,0,[6.8213572 6.5959488 6.715303  ... 7.6342266 7.578207  7.4919964],68900.0,5.0,8.0,33319.08716920001,0.0,0,35573.25597,0.0,0.0,0,1.3458269999999999,0.0,0,3.62558,0.0,0.0,0,2.015349,0.0,0,5.50753,0.0,0.0,0,Referansesituasjon
15,17,A,P3,,,Østmarkveien 22A,0,0,Andre,Eldre,330,0,0,10.448914,63.451471,False,False,True,False,False,True,0,0,False,[5.273664 5.107872 5.264688 ... 6.119355 6.075036 6.111765],[3.188922 3.075072 3.066327 ... 3.351678 3.326499 3.182817],[5.01237  4.855323 5.018046 ... 5.756223 5.760018 5.808825],[0.261294 0.252549 0.246642 ... 0.363132 0.315018 0.30294 ],[3.188922 3.075072 3.066327 ... 3.351678 3.326499 3.182817],[1.96534062 1.90355478 1.92677854 ... 1.99107935 1.98523382 1.91508748],"[-3.30832338 -3.20431722 -3.24341054 ... -3.35165024 -3.34181026
 -3.2237306 ]",[0.         0.         0.09449892 ... 0.77662541 0.74799191 0.97294692],0,0,0,0,[5.15426262 4.97862678 5.08760446 ... 6.11938276 6.05972474 6.0708514 ],64900.0,5.0,8.0,41335.709645999996,20542.074082650066,0,44132.23484999999,12203.212326326775,8590.423237023162,0,1.669635,1.0474107763975153,0,4.4979,0.6222242236024846,0.0,0,2.500245,1.5684766770186334,0,6.83265,0.9317683229813667,0.0,0,Referansesituasjon
16,18,A,P3,,,Østmarkveien 40,0,0,Andre,Eldre,780,0,0,10.447684,63.4532,False,False,False,False,False,False,0,0,False,[12.465024 12.073152 12.443808 ... 14.46393  14.359176 14.44599 ],[7.537452 7.268352 7.247682 ... 7.922148 7.862634 7.523022],[11.84742  11.476218 11.860836 ... 13.605618 13.614588 13.72995 ],[0.617604 0.596934 0.582972 ... 0.858312 0.744588 0.71604 ],[7.537452 7.268352 7.247682 ... 7.922148 7.862634 7.523022],0,0,0,0,0,0,0,[20.002476 19.341504 19.69149  ... 22.386078 22.22181  21.969012],202000.0,15.0,22.0,97702.58643600001,0.0,0,104312.5551,0.0,0.0,0,3.94641,0.0,0,10.6314,0.0,0.0,0,5.90967,0.0,0,16.149900000000002,0.0,0.0,0,Referansesituasjon
17,19,A,P3,,,Østmarkveien 40,0,0,Andre,Eldre,781,0,0,10.447829,63.453439,False,False,True,False,False,True,0,0,False,[12.4810048 12.0886304 12.4597616 ... 14.4824735 14.3775852 14.4645105],[7.5471154 7.2776704 7.2569739 ... 7.9323046 7.8727143 7.5326669],[11.862609  11.4909311 11.8760422 ... 13.6230611 13.6320426 13.7475525],[0.6183958 0.5976993 0.5837194 ... 0.8594124 0.7455426 0.716958 ],[7.5471154 7.2776704 7.2569739 ... 7.9323046 7.8727143 7.5326669],[2.88166067 2.84033064 2.72460655 ... 2.81553262 2.80726661 2.70807453],"[-4.85079547 -4.78122324 -4.58642102 ... -4.73947991 -4.72556547
 -4.55859213]",[4.74854866 4.46707652 5.14873403 ... 6.92746097 6.84475312 7.19784383],0,0,0,0,"[15.17732473 14.58507756 15.13031448 ... 17.67529819 17.52473403
 17.43858527]",166500.0,12.0,18.0,97827.84616219999,35761.673744388034,0,104446.289145,21244.558660032504,40821.61375777946,0,3.9514695,2.478872170807453,0,10.64503,1.472597329192547,0.0,0,5.917246499999999,3.7120614689440985,0,16.170605000000002,2.2051850310559007,0.0,0,Referansesituasjon
18,20,A,P3,,,Østmarkveien 38,0,0,Andre,Eldre,544,0,0,10.44852,63.453116,False,False,False,False,False,False,0,0,False,[ 8.6935552  8.4202496  8.6787584 ... 10.087664  10.0146048 10.075152 ],[5.2568896 5.0692096 5.0547936 ... 5.5251904 5.4836832 5.2468256],[8.262816  8.0039264 8.2721728 ... 9.4890464 9.4953024 9.57576  ],[0.4307392 0.4163232 0.4065856 ... 0.5986176 0.5193024 0.499392 ],[5.2568896 5.0692096 5.0547936 ... 5.5251904 5.4836832 5.2468256],0,0,0,0,0,0,0,[13.9504448 13.4894592 13.733552  ... 15.6128544 15.498288  15.3219776],140900.0,10.0,15.0,68141.29105279999,0.0,0,72751.32048000001,0.0,0.0,0,2.7523679999999997,0.0,0,7.41472,0.0,0.0,0,4.1216159999999995,0.0,0,11.26352,0.0,0.0,0,Referansesituasjon
19,21,A,P3,,,Østmarkveien 38,0,0,Andre,Eldre,546,0,0,10.448812,63.453317,False,False,False,False,False,False,0,0,False,[ 8.7255168  8.4512064  8.7106656 ... 10.124751  10.0514232 10.112193 ],[5.2762164 5.0878464 5.0733774 ... 5.5455036 5.5038438 5.2661154],[8.293194  8.0333526 8.3025852 ... 9.5239326 9.5302116 9.610965 ],[0.4323228 0.4178538 0.4080804 ... 0.6008184 0.5212116 0.501228 ],[5.2762164 5.0878464 5.0733774 ... 5.5455036 5.5038438 5.2661154],0,0,0,0,0,0,0,[14.0017332 13.5390528 13.784043  ... 15.6702546 15.555267  15.3783084],141400.0,10.0,15.0,68391.8105052,0.0,0,73018.78856999999,0.0,0.0,0,2.762487,0.0,0,7.44198,0.0,0.0,0,4.136769,0.0,0,11.30493,0.0,0.0,0,Referansesituasjon
