,objectid,energiomraadeid,bygningsomraadeid,har_grunnvarme,har_fjernvarme,har_adresse,bygning_id,bygningstype_navn,profet_bygningstype,profet_bygningsstandard,bruksareal_totalt,bebygd_areal,antall_etasjer,x,y,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,oppgraderes,varme_finnes,har_eksisterende_data,_termisk_energibehov,_elektrisk_energibehov,_romoppvarming_energibehov,_tappevann_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi_liste,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elektrisk_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elektrisk_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elektrisk_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario_navn
0,1,A,P2,,,OMT72,520146,Annen forretningsbygning,Andre,Eldre,3774,0,4,10.733188,59.963944,True,True,False,False,False,True,False,[30.1557696 29.2077408 30.1044432 ... 34.9915845 34.7381604 34.9481835],[18.2348358 17.5838208 17.5338153 ... 19.1655042 19.0215261 18.1999263],[57.323286  55.5272394 57.3881988 ... 65.8302594 65.8736604 66.431835 ],[2.9882532 2.8882422 2.8206876 ... 4.1529096 3.6026604 3.464532 ],[36.4696716 35.1676416 35.0676306 ... 38.3310084 38.0430522 36.3998526],[8.61593417 8.3450688  8.60126949 ... 9.99759557 9.92518869 9.98519529],"[-21.53983543 -20.862672   -21.50317371 ... -24.99398893 -24.81297171
 -24.96298821]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],2004.0,1202400.0,"[26.85076997 25.9288896  26.13508479 ... 29.16309977 28.94671479
 28.18512159]",205700.0,-19.0,-37.0,236365.10333940003,160341.99282214284,0,252356.142915,64136.79712885714,11886.313388400002,122678.84667741203,12.1319004,8.665643142857142,0,55.4221335,3.466257257142857,0.0,78.149493612,14.2968555,10.212039642857142,0,39.070335,4.084815857142857,0.0,80.57961372599999,Referansesituasjon
1,31,A,P1,,,OMT62,562854,Studenthjem/studentboliger,Hus,Eldre,2012,0,5,10.732332,59.963686,True,True,False,False,False,True,True,[16.2   14.775 14.475 ... 16.4   15.95  14.9  ],[9.125 9.125 9.125 ... 9.125 9.125 9.125],[32.4  29.55 28.95 ... 32.8  31.9  29.8 ],"[45.44820832 45.68488653 48.62089472 ... 39.42040376 37.79661148
 34.49510024]",[18.25 18.25 18.25 ... 18.25 18.25 18.25],[4.62857143 4.22142857 4.13571429 ... 4.68571429 4.55714286 4.25714286],"[-11.57142857 -10.55357143 -10.33928571 ... -11.71428571 -11.39285714
 -10.64285714]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],708.0,424800.0,"[13.75357143 13.34642857 13.26071429 ... 13.81071429 13.68214286
 13.38214286]",58600.0,-18.0,-17.0,79331.5,56665.357142857145,0,78977.65,22666.142857142855,0.0,43051.56127558195,0.0,0.0,0,8.475,0.0,0.0,26.287278171199997,0.125,0.08928571428571429,0,9.125,0.03571428571428571,0.0,26.18417806,Referansesituasjon
2,32,A,E,,,OMT66,562855,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.732333,59.963363,True,True,False,False,False,True,True,[10.544  10.172  10.1735 ...  8.0655  9.0315  8.015 ],[7.5475 7.5475 7.5475 ... 7.5475 7.5475 7.5475],[21.088 20.344 20.347 ... 16.131 18.063 16.03 ],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[15.095 15.095 15.095 ... 15.095 15.095 15.095],[3.01257143 2.90628571 2.90671429 ... 2.30442857 2.58042857 2.29      ],"[-7.53142857 -7.26571429 -7.26678571 ... -5.76107143 -6.45107143
 -5.725     ]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],583.0,349800.0,"[10.56007143 10.45378571 10.45421429 ...  9.85192857 10.12792857
  9.8375    ]",48100.0,-14.0,-16.0,65296.3355,46640.23964285715,0,65256.19399999998,18656.095857142856,0.0,35776.446547103886,1.368500000000001,0.9775000000000007,0,7.5474999999999985,0.39100000000000024,0.0,21.8450939872,0.0,0.0,0,6.2335,0.0,0.0,21.75941636,Referansesituasjon
3,35,A,P1,,,OMT64,562856,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.731653,59.963381,True,True,False,False,False,True,True,[11.55  9.85  9.6  ... 10.4  12.45 12.35],[6.85 6.85 6.85 ... 6.85 6.85 6.85],[23.1 19.7 19.2 ... 20.8 24.9 24.7],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[13.7 13.7 13.7 ... 13.7 13.7 13.7],[3.3        2.81428571 2.74285714 ... 2.97142857 3.55714286 3.52857143],"[-8.25       -7.03571429 -6.85714286 ... -7.42857143 -8.89285714
 -8.82142857]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],536.0,321600.0,"[10.15        9.66428571  9.59285714 ...  9.82142857 10.40714286
 10.37857143]",41400.0,-15.0,-15.0,60086.888499999994,42919.206071428576,0,59968.56149999998,17167.68242857143,0.0,35776.446547103886,0.45000000000000023,0.3214285714285716,0,6.8500000000000005,0.12857142857142861,0.0,21.8450939872,0.8115000000000006,0.5796428571428576,0,6.8500000000000005,0.23185714285714298,0.0,21.75941636,Referansesituasjon
4,38,A,E,,,OMT58,562857,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.731008,59.963362,True,True,False,False,False,True,True,[12.35 11.35 10.75 ... 11.55 11.15  9.65],[6.9 6.9 6.9 ... 6.9 6.9 6.9],[24.7 22.7 21.5 ... 23.1 22.3 19.3],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[13.8 13.8 13.8 ... 13.8 13.8 13.8],[3.52857143 3.24285714 3.07142857 ... 3.3        3.18571429 2.75714286],"[-8.82142857 -8.10714286 -7.67857143 ... -8.25       -7.96428571
 -6.89285714]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],497.0,298200.0,"[10.42857143 10.14285714  9.97142857 ... 10.2        10.08571429
  9.65714286]",28000.0,-22.0,-21.0,55646.75,39747.678571428565,0,55284.90000000001,15899.071428571428,0.0,43222.740445663796,0.0,0.0,0,4.3,0.0,0.0,26.391800152,0.0,0.0,0,4.8,0.0,0.0,26.2882901,Referansesituasjon
5,40,A,P1,,,OMT56,562858,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.730362,59.963353,True,True,False,False,False,True,True,[13.7  13.4  12.95 ... 10.75 11.15 12.25],[6.7 6.7 6.7 ... 6.7 6.7 6.7],[27.4 26.8 25.9 ... 21.5 22.3 24.5],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[13.4 13.4 13.4 ... 13.4 13.4 13.4],[3.91428571 3.82857143 3.7        ... 3.07142857 3.18571429 3.5       ],"[-9.78571429 -9.57142857 -9.25       ... -7.67857143 -7.96428571
 -8.75      ]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],490.0,294000.0,"[10.61428571 10.52857143 10.4        ...  9.77142857  9.88571429
 10.2       ]",27100.0,-22.0,-22.0,54915.899999999994,39225.64285714286,0,54637.700000000004,15690.257142857143,0.0,43222.740445663796,0.0,0.0,0,4.85,0.0,0.0,26.391800152,0.0,0.0,0,4.5,0.0,0.0,26.2882901,Referansesituasjon
6,42,A,E,,,OMT52,562859,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.730433,59.963675,True,True,False,False,False,True,True,[16.05 15.5  15.4  ... 11.2  11.2  11.6 ],[6.35 6.35 6.35 ... 6.35 6.35 6.35],[32.1 31.  30.8 ... 22.4 22.4 23.2],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[12.7 12.7 12.7 ... 12.7 12.7 12.7],[4.58571429 4.42857143 4.4        ... 3.2        3.2        3.31428571],"[-11.46428571 -11.07142857 -11.         ...  -8.          -8.
  -8.28571429]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],470.0,282000.0,"[10.93571429 10.77857143 10.75       ...  9.55        9.55
  9.66428571]",24100.0,-22.0,-22.0,52683.40000000001,37631.0,0,52259.84999999999,15052.400000000001,0.0,43222.740445663796,0.0,0.0,0,4.2,0.0,0.0,26.391800152,0.0,0.0,0,4.75,0.0,0.0,26.2882901,Referansesituasjon
7,44,A,P2,,,OMT54,562860,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.73106,59.963685,True,True,False,False,False,True,True,[9.275 7.875 7.15  ... 7.5   8.175 8.775],[5.425 5.425 5.425 ... 5.425 5.425 5.425],[18.55 15.75 14.3  ... 15.   16.35 17.55],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[10.85 10.85 10.85 ... 10.85 10.85 10.85],[2.65       2.25       2.04285714 ... 2.14285714 2.33571429 2.50714286],"[-6.625      -5.625      -5.10714286 ... -5.35714286 -5.83928571
 -6.26785714]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],408.0,244800.0,[8.075      7.675      7.46785714 ... 7.56785714 7.76071429 7.93214286],15200.0,-22.0,-23.0,45670.2,32621.571428571428,0,45393.09999999999,13048.628571428573,0.0,43222.740445663796,0.0,0.0,0,4.1,0.0,0.0,26.391800152,0.0,0.0,0,3.6999999999999997,0.0,0.0,26.2882901,Referansesituasjon
8,46,A,P2,,,OMT60,562861,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.731766,59.963828,True,True,False,False,False,True,True,[6.43112428 5.48455187 5.34535005 ... 5.79079589 6.93225084 6.87657011],[3.81412998 3.81412998 3.81412998 ... 3.81412998 3.81412998 3.81412998],"[12.86224855 10.96910374 10.6907001  ... 11.58159177 13.86450169
 13.75314023]","[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[7.62825996 7.62825996 7.62825996 ... 7.62825996 7.62825996 7.62825996],[1.83746408 1.56701482 1.52724287 ... 1.65451311 1.9806431  1.96473432],"[-4.5936602  -3.91753705 -3.81810718 ... -4.13628278 -4.95160775
 -4.9118358 ]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],299.0,179400.0,[5.65159406 5.3811448  5.34137285 ... 5.46864309 5.79477308 5.7788643 ],7200.0,-18.0,-18.0,33456.81795013744,23897.727107241026,0,33390.93261314606,9559.09084289641,0.0,35776.446547103886,0.25056328349506485,0.17897377392504632,0,3.814129982091541,0.07158950957001853,0.0,21.8450939872,0.4518491212361,0.3227493723115,0,3.814129982091541,0.12909974892459997,0.0,21.75941636,Referansesituasjon
9,58,A,E,,,OMT6,592797,Studenthjem/studentboliger,Hus,Eldre,1969,0,5,10.732976,59.964701,True,True,False,False,False,True,True,[1.7 1.7 1.7 ... 0.5 0.  0. ],[1.4 1.4 1.4 ... 1.4 1.1 1.2],[3.4 3.4 3.4 ... 1.  0.  0. ],"[38.95560713 39.15847417 41.67505262 ... 33.78891751 32.39709556
 29.56722878]",[2.8 2.8 2.8 ... 2.8 2.2 2.4],[0.48571429 0.48571429 0.48571429 ... 0.14285714 0.         0.        ],"[-1.21428571 -1.21428571 -1.21428571 ... -0.35714286 -0.
 -0.        ]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],106.0,63600.0,[1.88571429 1.88571429 1.88571429 ... 1.54285714 1.1        1.2       ],-27000.0,-24.0,-25.0,11852.0,8465.714285714284,0,11706.8,3386.2857142857147,0.0,42131.473236392085,1.0,0.7142857142857143,0,1.4,0.2857142857142857,0.0,25.725472524399997,0.0,0.0,0,0.7,0.0,0.0,25.624575845000003,Referansesituasjon
