,objectid,energiomraadeid,bygningsomraadeid,har_grunnvarme,har_fjernvarme,har_adresse,bygning_id,bygningstype_navn,profet_bygningstype,profet_bygningsstandard,bruksareal_totalt,bebygd_areal,antall_etasjer,x,y,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,oppgraderes,varme_finnes,har_eksisterende_data,_termisk_energibehov,_elektrisk_energibehov,_romoppvarming_energibehov,_tappevann_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi_liste,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elektrisk_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elektrisk_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elektrisk_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario_navn
0,1,A,P2,,,OMT72,520146,Annen forretningsbygning,Andre,Eldre,3774,0,4,10.733188,59.963944,False,False,False,False,False,False,False,[30.1557696 29.2077408 30.1044432 ... 34.9915845 34.7381604 34.9481835],[18.2348358 17.5838208 17.5338153 ... 19.1655042 19.0215261 18.1999263],[57.323286  55.5272394 57.3881988 ... 65.8302594 65.8736604 66.431835 ],[2.9882532 2.8882422 2.8206876 ... 4.1529096 3.6026604 3.464532 ],[36.4696716 35.1676416 35.0676306 ... 38.3310084 38.0430522 36.3998526],0,0,0,0,0,0.0,0.0,[48.3906054 46.7915616 47.6382585 ... 54.1570887 53.7596865 53.1481098],488700.0,68.0,53.0,236365.10333940003,0.0,0,252356.142915,0.0,0.0,0.0,12.1319004,0.0,0,55.4221335,0.0,0.0,0.0,14.2968555,0.0,0,39.070335,0.0,0.0,0.0,Referansesituasjon
1,31,A,P1,,,OMT62,562854,Studenthjem/studentboliger,Hus,Eldre,2012,0,5,10.732332,59.963686,True,False,False,False,False,True,True,[16.2   14.775 14.475 ... 16.4   15.95  14.9  ],[9.125 9.125 9.125 ... 9.125 9.125 9.125],[32.4  29.55 28.95 ... 32.8  31.9  29.8 ],"[45.44820832 45.68488653 48.62089472 ... 39.42040376 37.79661148
 34.49510024]",[18.25 18.25 18.25 ... 18.25 18.25 18.25],[4.62857143 4.22142857 4.13571429 ... 4.68571429 4.55714286 4.25714286],"[-11.57142857 -10.55357143 -10.33928571 ... -11.71428571 -11.39285714
 -10.64285714]",[0. 0. 0. ... 0. 0. 0.],0,0,708.0,424800.0,"[13.75357143 13.34642857 13.26071429 ... 13.81071429 13.68214286
 13.38214286]",101600.0,8.0,9.0,79331.5,56665.357142857145,0,78977.65,22666.142857142855,0.0,0.0,0.0,0.0,0,8.475,0.0,0.0,0.0,0.125,0.08928571428571429,0,9.125,0.03571428571428571,0.0,0.0,Referansesituasjon
2,32,A,E,,,OMT66,562855,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.732333,59.963363,False,True,False,False,False,False,True,[10.544  10.172  10.1735 ...  8.0655  9.0315  8.015 ],[7.5475 7.5475 7.5475 ... 7.5475 7.5475 7.5475],[21.088 20.344 20.347 ... 16.131 18.063 16.03 ],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[15.095 15.095 15.095 ... 15.095 15.095 15.095],0,0,0,0,[-0. -0. -0. ... -0. -0. -0.],0.0,0.0,[18.0915 17.7195 17.721  ... 15.613  16.579  15.5625],94800.0,-13.0,-16.0,65296.3355,0.0,0,65256.19399999998,0.0,0.0,35776.446547103886,1.368500000000001,0.0,0,7.5474999999999985,0.0,0.0,21.8450939872,0.0,0.0,0,6.2335,0.0,0.0,21.75941636,Referansesituasjon
3,35,A,P1,,,OMT64,562856,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.731653,59.963381,False,False,False,False,False,False,True,[11.55  9.85  9.6  ... 10.4  12.45 12.35],[6.85 6.85 6.85 ... 6.85 6.85 6.85],[23.1 19.7 19.2 ... 20.8 24.9 24.7],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[13.7 13.7 13.7 ... 13.7 13.7 13.7],0,0,0,0,0,0.0,0.0,[18.4  16.7  16.45 ... 17.25 19.3  19.2 ],120100.0,7.0,8.0,60086.888499999994,0.0,0,59968.56149999998,0.0,0.0,0.0,0.45000000000000023,0.0,0,6.8500000000000005,0.0,0.0,0.0,0.8115000000000006,0.0,0,6.8500000000000005,0.0,0.0,0.0,Referansesituasjon
4,38,A,E,,,OMT58,562857,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.731008,59.963362,True,True,False,False,False,True,True,[12.35 11.35 10.75 ... 11.55 11.15  9.65],[6.9 6.9 6.9 ... 6.9 6.9 6.9],[24.7 22.7 21.5 ... 23.1 22.3 19.3],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[13.8 13.8 13.8 ... 13.8 13.8 13.8],[3.52857143 3.24285714 3.07142857 ... 3.3        3.18571429 2.75714286],"[-8.82142857 -8.10714286 -7.67857143 ... -8.25       -7.96428571
 -6.89285714]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],497.0,298200.0,"[10.42857143 10.14285714  9.97142857 ... 10.2        10.08571429
  9.65714286]",28000.0,-22.0,-21.0,55646.75,39747.678571428565,0,55284.90000000001,15899.071428571428,0.0,43222.740445663796,0.0,0.0,0,4.3,0.0,0.0,26.391800152,0.0,0.0,0,4.8,0.0,0.0,26.2882901,Referansesituasjon
5,40,A,P1,,,OMT56,562858,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.730362,59.963353,True,False,False,False,False,True,True,[13.7  13.4  12.95 ... 10.75 11.15 12.25],[6.7 6.7 6.7 ... 6.7 6.7 6.7],[27.4 26.8 25.9 ... 21.5 22.3 24.5],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[13.4 13.4 13.4 ... 13.4 13.4 13.4],[3.91428571 3.82857143 3.7        ... 3.07142857 3.18571429 3.5       ],"[-9.78571429 -9.57142857 -9.25       ... -7.67857143 -7.96428571
 -8.75      ]",[0. 0. 0. ... 0. 0. 0.],0,0,490.0,294000.0,"[10.61428571 10.52857143 10.4        ...  9.77142857  9.88571429
 10.2       ]",70300.0,5.0,4.0,54915.899999999994,39225.64285714286,0,54637.700000000004,15690.257142857143,0.0,0.0,0.0,0.0,0,4.85,0.0,0.0,0.0,0.0,0.0,0,4.5,0.0,0.0,0.0,Referansesituasjon
6,42,A,E,,,OMT52,562859,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.730433,59.963675,True,True,False,False,False,True,True,[16.05 15.5  15.4  ... 11.2  11.2  11.6 ],[6.35 6.35 6.35 ... 6.35 6.35 6.35],[32.1 31.  30.8 ... 22.4 22.4 23.2],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[12.7 12.7 12.7 ... 12.7 12.7 12.7],[4.58571429 4.42857143 4.4        ... 3.2        3.2        3.31428571],"[-11.46428571 -11.07142857 -11.         ...  -8.          -8.
  -8.28571429]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],470.0,282000.0,"[10.93571429 10.77857143 10.75       ...  9.55        9.55
  9.66428571]",24100.0,-22.0,-22.0,52683.40000000001,37631.0,0,52259.84999999999,15052.400000000001,0.0,43222.740445663796,0.0,0.0,0,4.2,0.0,0.0,26.391800152,0.0,0.0,0,4.75,0.0,0.0,26.2882901,Referansesituasjon
7,44,A,P2,,,OMT54,562860,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.73106,59.963685,False,False,False,False,False,False,True,[9.275 7.875 7.15  ... 7.5   8.175 8.775],[5.425 5.425 5.425 ... 5.425 5.425 5.425],[18.55 15.75 14.3  ... 15.   16.35 17.55],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[10.85 10.85 10.85 ... 10.85 10.85 10.85],0,0,0,0,0,0.0,0.0,[14.7   13.3   12.575 ... 12.925 13.6   14.2  ],91100.0,4.0,4.0,45670.2,0.0,0,45393.09999999999,0.0,0.0,0.0,0.0,0.0,0,4.1,0.0,0.0,0.0,0.0,0.0,0,3.6999999999999997,0.0,0.0,0.0,Referansesituasjon
8,46,A,P2,,,OMT60,562861,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.731766,59.963828,False,True,False,False,False,False,True,[6.43112428 5.48455187 5.34535005 ... 5.79079589 6.93225084 6.87657011],[3.81412998 3.81412998 3.81412998 ... 3.81412998 3.81412998 3.81412998],"[12.86224855 10.96910374 10.6907001  ... 11.58159177 13.86450169
 13.75314023]","[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[7.62825996 7.62825996 7.62825996 ... 7.62825996 7.62825996 7.62825996],0,0,0,0,[-0. -0. -0. ... -0. -0. -0.],0.0,0.0,"[10.24525426  9.29868185  9.15948003 ...  9.60492587 10.74638083
 10.6907001 ]",31100.0,-18.0,-17.0,33456.81795013744,0.0,0,33390.93261314606,0.0,0.0,35776.446547103886,0.25056328349506485,0.0,0,3.814129982091541,0.0,0.0,21.8450939872,0.4518491212361,0.0,0,3.814129982091541,0.0,0.0,21.75941636,Referansesituasjon
9,58,A,E,,,OMT6,592797,Studenthjem/studentboliger,Hus,Eldre,1969,0,5,10.732976,59.964701,False,False,False,False,False,False,True,[1.7 1.7 1.7 ... 0.5 0.  0. ],[1.4 1.4 1.4 ... 1.4 1.1 1.2],[3.4 3.4 3.4 ... 1.  0.  0. ],"[38.95560713 39.15847417 41.67505262 ... 33.78891751 32.39709556
 29.56722878]",[2.8 2.8 2.8 ... 2.8 2.2 2.4],0,0,0,0,0,0.0,0.0,[3.1 3.1 3.1 ... 1.9 1.1 1.2],23600.0,2.0,1.0,11852.0,0.0,0,11706.8,0.0,0.0,0.0,1.0,0.0,0,1.4,0.0,0.0,0.0,0.0,0.0,0,0.7,0.0,0.0,0.0,Referansesituasjon
