,objectid,energiomraadeid,bygningsomraadeid,har_grunnvarme,har_fjernvarme,har_adresse,bygning_id,bygningstype_navn,profet_bygningstype,profet_bygningsstandard,bruksareal_totalt,bebygd_areal,antall_etasjer,x,y,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,oppgraderes,varme_finnes,har_eksisterende_data,_termisk_energibehov,_elektrisk_energibehov,_romoppvarming_energibehov,_tappevann_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi_liste,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elektrisk_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elektrisk_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elektrisk_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario_navn
0,1,A,P2,,,OMT72,520146,Annen forretningsbygning,Andre,Eldre,3774,0,4,10.733188,59.963944,False,False,False,False,False,False,False,"[45.2336544  43.8116112  45.1566648  ... 52.48737675 52.1072406
 52.42227525]","[27.3522537  26.3757312  26.30072295 ... 28.7482563  28.53228915
 27.29988945]",[57.323286  55.5272394 57.3881988 ... 65.8302594 65.8736604 66.431835 ],[2.9882532 2.8882422 2.8206876 ... 4.1529096 3.6026604 3.464532 ],[36.4696716 35.1676416 35.0676306 ... 38.3310084 38.0430522 36.3998526],0,0,0,0,0,0.0,0.0,"[72.5859081  70.1873424  71.45738775 ... 81.23563305 80.63952975
 79.7221647 ]",733100.0,101.0,80.0,354547.65500910004,0.0,0,378534.2143725,0.0,0.0,0.0,18.1978506,0.0,0,83.13320025,0.0,0.0,0.0,21.44528325,0.0,0,58.6055025,0.0,0.0,0.0,Referansesituasjon
1,31,A,P1,,,OMT62,562854,Studenthjem/studentboliger,Hus,Eldre,2012,0,5,10.732332,59.963686,True,False,False,False,False,True,True,[24.3    22.1625 21.7125 ... 24.6    23.925  22.35  ],[13.6875 13.6875 13.6875 ... 13.6875 13.6875 13.6875],[32.4  29.55 28.95 ... 32.8  31.9  29.8 ],"[45.44820832 45.68488653 48.62089472 ... 39.42040376 37.79661148
 34.49510024]",[18.25 18.25 18.25 ... 18.25 18.25 18.25],[6.94285714 6.33214286 6.20357143 ... 7.02857143 6.83571429 6.38571429],"[-17.35714286 -15.83035714 -15.50892857 ... -17.57142857 -17.08928571
 -15.96428571]",[0. 0. 0. ... 0. 0. 0.],0,0,1062.0,637200.0,"[20.63035714 20.01964286 19.89107143 ... 20.71607143 20.52321429
 20.07321429]",152500.0,13.0,14.0,118997.25,84998.03571428571,0,118466.475,33999.21428571428,0.0,0.0,0.0,0.0,0,12.712499999999999,0.0,0.0,0.0,0.1875,0.13392857142857142,0,13.6875,0.053571428571428575,0.0,0.0,Referansesituasjon
2,32,A,E,,,OMT66,562855,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.732333,59.963363,True,False,False,False,False,True,True,[15.816   15.258   15.26025 ... 12.09825 13.54725 12.0225 ],[11.32125 11.32125 11.32125 ... 11.32125 11.32125 11.32125],[21.088 20.344 20.347 ... 16.131 18.063 16.03 ],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[15.095 15.095 15.095 ... 15.095 15.095 15.095],[4.51885714 4.35942857 4.36007143 ... 3.45664286 3.87064286 3.435     ],"[-11.29714286 -10.89857143 -10.90017857 ...  -8.64160714  -9.67660714
  -8.5875    ]",[0. 0. 0. ... 0. 0. 0.],0,0,875.0,525000.0,"[15.84010714 15.68067857 15.68132143 ... 14.77789286 15.19189286
 14.75625   ]",125900.0,12.0,9.0,97944.50325,69960.3594642857,0,97884.29099999997,27984.14378571429,0.0,0.0,2.0527500000000014,1.466250000000001,0,11.32125,0.5865000000000005,0.0,0.0,0.0,0.0,0,9.35025,0.0,0.0,0.0,Referansesituasjon
3,35,A,P1,,,OMT64,562856,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.731653,59.963381,True,True,False,False,False,True,True,[17.325 14.775 14.4   ... 15.6   18.675 18.525],[10.275 10.275 10.275 ... 10.275 10.275 10.275],[23.1 19.7 19.2 ... 20.8 24.9 24.7],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[13.7 13.7 13.7 ... 13.7 13.7 13.7],[4.95       4.22142857 4.11428571 ... 4.45714286 5.33571429 5.29285714],"[-12.375      -10.55357143 -10.28571429 ... -11.14285714 -13.33928571
 -13.23214286]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],805.0,483000.0,"[15.225      14.49642857 14.38928571 ... 14.73214286 15.61071429
 15.56785714]",79900.0,-11.0,-11.0,90130.33275,64378.80910714285,0,89952.84225,25751.523642857144,0.0,35776.446547103886,0.6750000000000003,0.4821428571428573,0,10.275,0.19285714285714295,0.0,21.8450939872,1.2172500000000008,0.8694642857142862,0,10.275,0.3477857142857146,0.0,21.75941636,Referansesituasjon
4,38,A,E,,,OMT58,562857,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.731008,59.963362,True,True,False,False,False,True,True,[18.525 17.025 16.125 ... 17.325 16.725 14.475],[10.35 10.35 10.35 ... 10.35 10.35 10.35],[24.7 22.7 21.5 ... 23.1 22.3 19.3],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[13.8 13.8 13.8 ... 13.8 13.8 13.8],[5.29285714 4.86428571 4.60714286 ... 4.95       4.77857143 4.13571429],"[-13.23214286 -12.16071429 -11.51785714 ... -12.375      -11.94642857
 -10.33928571]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],745.0,447000.0,"[15.64285714 15.21428571 14.95714286 ... 15.3        15.12857143
 14.48571429]",63600.0,-20.0,-19.0,83470.12499999999,59621.517857142855,0,82927.34999999999,23848.60714285714,0.0,43222.740445663796,0.0,0.0,0,6.449999999999999,0.0,0.0,26.391800152,0.0,0.0,0,7.199999999999999,0.0,0.0,26.2882901,Referansesituasjon
5,40,A,P1,,,OMT56,562858,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.730362,59.963353,False,False,False,False,False,False,True,[20.55  20.1   19.425 ... 16.125 16.725 18.375],[10.05 10.05 10.05 ... 10.05 10.05 10.05],[27.4 26.8 25.9 ... 21.5 22.3 24.5],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[13.4 13.4 13.4 ... 13.4 13.4 13.4],0,0,0,0,0,0.0,0.0,[30.6   30.15  29.475 ... 26.175 26.775 28.425],164300.0,7.0,7.0,82373.85,0.0,0,81956.55,0.0,0.0,0.0,0.0,0.0,0,7.2749999999999995,0.0,0.0,0.0,0.0,0.0,0,6.75,0.0,0.0,0.0,Referansesituasjon
6,42,A,E,,,OMT52,562859,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.730433,59.963675,True,True,False,False,False,True,True,[24.075 23.25  23.1   ... 16.8   16.8   17.4  ],[9.525 9.525 9.525 ... 9.525 9.525 9.525],[32.1 31.  30.8 ... 22.4 22.4 23.2],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[12.7 12.7 12.7 ... 12.7 12.7 12.7],[6.87857143 6.64285714 6.6        ... 4.8        4.8        4.97142857],"[-17.19642857 -16.60714286 -16.5        ... -12.         -12.
 -12.42857143]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],706.0,423600.0,"[16.40357143 16.16785714 16.125      ... 14.325      14.325
 14.49642857]",57700.0,-20.0,-19.0,79025.1,56446.5,0,78389.77500000001,22578.6,0.0,43222.740445663796,0.0,0.0,0,6.300000000000001,0.0,0.0,26.391800152,0.0,0.0,0,7.125,0.0,0.0,26.2882901,Referansesituasjon
7,44,A,P2,,,OMT54,562860,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.73106,59.963685,True,False,False,False,False,True,True,[13.9125 11.8125 10.725  ... 11.25   12.2625 13.1625],[8.1375 8.1375 8.1375 ... 8.1375 8.1375 8.1375],[18.55 15.75 14.3  ... 15.   16.35 17.55],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[10.85 10.85 10.85 ... 10.85 10.85 10.85],[3.975      3.375      3.06428571 ... 3.21428571 3.50357143 3.76071429],"[-9.9375     -8.4375     -7.66071429 ... -8.03571429 -8.75892857
 -9.40178571]",[0. 0. 0. ... 0. 0. 0.],0,0,612.0,367200.0,"[12.1125     11.5125     11.20178571 ... 11.35178571 11.64107143
 11.89821429]",87700.0,6.0,6.0,68505.3,48932.357142857145,0,68089.65000000001,19572.942857142858,0.0,0.0,0.0,0.0,0,6.1499999999999995,0.0,0.0,0.0,0.0,0.0,0,5.55,0.0,0.0,0.0,Referansesituasjon
8,46,A,P2,,,OMT60,562861,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.731766,59.963828,True,False,False,False,False,True,True,"[ 9.64668641  8.22682781  8.01802507 ...  8.68619383 10.39837627
 10.31485517]",[5.72119497 5.72119497 5.72119497 ... 5.72119497 5.72119497 5.72119497],"[12.86224855 10.96910374 10.6907001  ... 11.58159177 13.86450169
 13.75314023]","[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[7.62825996 7.62825996 7.62825996 ... 7.62825996 7.62825996 7.62825996],[2.75619612 2.35052223 2.29086431 ... 2.48176967 2.97096465 2.94710148],"[-6.8904903  -5.87630558 -5.72716077 ... -6.20442416 -7.42741162
 -7.36775369]",[0. 0. 0. ... 0. 0. 0.],0,0,448.0,268800.0,[8.47739109 8.0717172  8.01205928 ... 8.20296464 8.69215962 8.66829645],64400.0,6.0,6.0,50185.22692520615,35846.59066086154,0,50086.3989197191,14338.636264344615,0.0,0.0,0.37584492524259727,0.2684606608875695,0,5.721194973137312,0.10738426435502779,0.0,0.0,0.67777368185415,0.48412405846725,0,5.721194973137312,0.1936496233869,0.0,0.0,Referansesituasjon
9,58,A,E,,,OMT6,592797,Studenthjem/studentboliger,Hus,Eldre,1969,0,5,10.732976,59.964701,True,True,False,False,False,True,True,[2.55 2.55 2.55 ... 0.75 0.   0.  ],[2.1  2.1  2.1  ... 2.1  1.65 1.8 ],[3.4 3.4 3.4 ... 1.  0.  0. ],"[38.95560713 39.15847417 41.67505262 ... 33.78891751 32.39709556
 29.56722878]",[2.8 2.8 2.8 ... 2.8 2.2 2.4],[0.72857143 0.72857143 0.72857143 ... 0.21428571 0.         0.        ],"[-1.82142857 -1.82142857 -1.82142857 ... -0.53571429 -0.
 -0.        ]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],159.0,95400.0,[2.82857143 2.82857143 2.82857143 ... 2.31428571 1.65       1.8       ],-19500.0,-23.0,-25.0,17778.0,12698.57142857143,0,17560.200000000004,5079.428571428572,0.0,42131.473236392085,1.5,1.0714285714285714,0,2.0999999999999996,0.4285714285714286,0.0,25.725472524399997,0.0,0.0,0,1.0499999999999998,0.0,0.0,25.624575845000003,Referansesituasjon
