,Street,Housenumber,Name
148,Gartnerhaugveien,1,0
149,Gartnerhaugveien,1,0
150,Østmarkveien,28U,0
151,Østmarkveien,0,Viktoria
152,Østmarkveien,26,0
153,Østmarkveien,26C,0
154,Østmarkveien,26B,0
155,Østmarkveien,26,0
156,Østmarkveien,28C,0
157,Østmarkveien,22H,0
158,Østmarkveien,22F,0
159,Østmarkveien,22C,0
160,Østmarkveien,26,0
161,Østmarkveien,26,0
162,Østmarkveien,28G,0
163,Østmarkveien,28N,0
164,Østmarkveien,30,0
165,Østmarkveien,32,0
166,Østmarkveien,34,0
167,Østmarkveien,36,0
168,Østmarkveien,26,0
169,Østmarkveien,26,0
170,Østmarkveien,28G,0
171,Østmarkveien,28N,0
172,Østmarkveien,30,0
173,Østmarkveien,32,0
174,Østmarkveien,34,0
175,Østmarkveien,36,0
